Borough,Collision ID,Contributing Factor 1,Crash Date,Crash Time,Latitude,Location,Longitude,Number of Cyclists Injured,Number of Cyclists Killed,Number of Motorists Injured,Number of Motorists Killed,Number of Pedestrians Injured,number_of_pedestrians_killed,Number of Persons Killed,Number of Persons Killed,Vehicle 1 Code,Zip Code
BRONX,4363597,Driver Inattention/Distraction,2020-11-02T00:00:00.000,2020-12-14 14:55:00,40.876312,"{'latitude': '40.876312', 'longitude': '-73.87965'}",-73.87965,0,0,0,0,0,0,0,0,Sedan,10467.0
MANHATTAN,4360553,Unspecified,2020-10-23T00:00:00.000,2020-12-14 17:57:00,40.714928,"{'latitude': '40.714928', 'longitude': '-74.00795'}",-74.00795,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10007.0
BRONX,4358596,Failure to Yield Right-of-Way,2020-10-15T00:00:00.000,2020-12-14 20:23:00,40.859646,"{'latitude': '40.859646', 'longitude': '-73.86176'}",-73.86176,0,0,1,0,0,0,1,0,Taxi,10469.0
MANHATTAN,4364577,Failure to Yield Right-of-Way,2020-11-05T00:00:00.000,2020-12-14 13:50:00,40.76338,"{'latitude': '40.76338', 'longitude': '-73.97156'}",-73.97156,0,0,1,0,0,0,1,0,Sedan,10022.0
BRONX,4370991,Unspecified,2020-11-18T00:00:00.000,2020-12-14 09:22:00,40.821167,"{'latitude': '40.821167', 'longitude': '-73.90775'}",-73.90775,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10456.0
MANHATTAN,4367621,Failure to Yield Right-of-Way,2020-11-13T00:00:00.000,2020-12-14 23:25:00,40.793606,"{'latitude': '40.793606', 'longitude': '-73.94952'}",-73.94952,0,0,0,0,1,0,1,0,Sedan,10029.0
BROOKLYN,4370052,Driver Inexperience,2020-11-23T00:00:00.000,2020-12-14 08:09:00,40.71786,"{'latitude': '40.71786', 'longitude': '-73.96223'}",-73.96223,0,0,0,0,0,0,0,0,Tractor Truck Gasoline,11249.0
BROOKLYN,4367635,Backing Unsafely,2020-11-15T00:00:00.000,2020-12-14 12:10:00,40.606636,"{'latitude': '40.606636', 'longitude': '-74.00163'}",-74.00163,0,0,0,0,1,0,1,0,Station Wagon/Sport Utility Vehicle,11214.0
BROOKLYN,4373647,Driver Inattention/Distraction,2020-12-04T00:00:00.000,2020-12-14 14:30:00,40.716778,"{'latitude': '40.716778', 'longitude': '-73.93635'}",-73.93635,1,0,0,0,0,0,1,0,Bike,11211.0
BROOKLYN,4369007,Backing Unsafely,2020-11-16T00:00:00.000,2020-12-14 14:20:00,40.694874,"{'latitude': '40.694874', 'longitude': '-73.98468'}",-73.98468,0,0,1,0,0,0,1,0,Sedan,11201.0
MANHATTAN,4361339,Traffic Control Disregarded,2020-10-25T00:00:00.000,2020-12-14 09:15:00,40.801765,"{'latitude': '40.801765', 'longitude': '-73.93723'}",-73.93723,0,0,0,0,0,0,0,0,Sedan,10035.0
BRONX,4373770,Traffic Control Disregarded,2020-12-03T00:00:00.000,2020-12-14 22:55:00,40.818893,"{'latitude': '40.818893', 'longitude': '-73.89229'}",-73.89229,0,0,1,0,0,0,1,0,Sedan,10459.0
BROOKLYN,4360986,Traffic Control Disregarded,2020-10-24T00:00:00.000,2020-12-14 00:55:00,40.636627,"{'latitude': '40.636627', 'longitude': '-73.94226'}",-73.94226,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11210.0
BROOKLYN,4369050,Unspecified,2020-11-12T00:00:00.000,2020-12-14 20:56:00,40.641304,"{'latitude': '40.641304', 'longitude': '-73.94276'}",-73.94276,0,0,1,0,0,0,1,0,Sedan,11203.0
BROOKLYN,4360626,Unspecified,2020-10-24T00:00:00.000,2020-12-14 12:52:00,40.667847,"{'latitude': '40.667847', 'longitude': '-73.99404'}",-73.99404,0,0,1,0,0,0,1,0,Pick-up Truck,11215.0
QUEENS,4365449,Driver Inattention/Distraction,2020-11-08T00:00:00.000,2020-12-14 13:15:00,40.74706,"{'latitude': '40.74706', 'longitude': '-73.75566'}",-73.75566,0,0,0,0,0,0,0,0,Sedan,11364.0
QUEENS,4362209,Unspecified,2020-10-28T00:00:00.000,2020-12-14 13:15:00,40.72165,"{'latitude': '40.72165', 'longitude': '-73.8096'}",-73.8096,0,0,0,0,0,0,0,0,Pick-up Truck,11366.0
BROOKLYN,4374043,Reaction to Uninvolved Vehicle,2020-12-07T00:00:00.000,2020-12-14 18:30:00,40.578003,"{'latitude': '40.578003', 'longitude': '-73.9937'}",-73.9937,0,0,2,0,0,0,2,0,Station Wagon/Sport Utility Vehicle,11224.0
QUEENS,4365327,Driver Inattention/Distraction,2020-11-06T00:00:00.000,2020-12-14 22:50:00,40.750717,"{'latitude': '40.750717', 'longitude': '-73.85877'}",-73.85877,0,0,1,0,0,0,1,0,Sedan,11368.0
MANHATTAN,4366932,Driver Inattention/Distraction,2020-11-03T00:00:00.000,2020-12-14 18:00:00,40.719517,"{'latitude': '40.719517', 'longitude': '-73.994385'}",-73.994385,0,0,1,0,0,0,1,0,Sedan,10013.0
MANHATTAN,4373835,Other Vehicular,2020-12-03T00:00:00.000,2020-12-14 14:45:00,40.817852,"{'latitude': '40.817852', 'longitude': '-73.94768'}",-73.94768,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10030.0
QUEENS,4361296,Backing Unsafely,2020-10-26T00:00:00.000,2020-12-14 12:08:00,40.70772,"{'latitude': '40.70772', 'longitude': '-73.796326'}",-73.796326,0,0,0,0,1,0,1,0,Sedan,11432.0
QUEENS,4369376,Failure to Yield Right-of-Way,2020-11-20T00:00:00.000,2020-12-14 18:25:00,40.678944,"{'latitude': '40.678944', 'longitude': '-73.83447'}",-73.83447,1,0,0,0,0,0,1,0,Station Wagon/Sport Utility Vehicle,11417.0
BROOKLYN,4374350,Lost Consciousness,2020-12-08T00:00:00.000,2020-12-14 19:20:00,40.703938,"{'latitude': '40.703938', 'longitude': '-73.94962'}",-73.94962,0,0,0,0,0,0,0,0,Sedan,11206.0
BROOKLYN,4361471,Traffic Control Disregarded,2020-10-26T00:00:00.000,2020-12-14 17:05:00,40.661983,"{'latitude': '40.661983', 'longitude': '-73.90198'}",-73.90198,0,0,3,0,0,0,3,0,Station Wagon/Sport Utility Vehicle,11212.0
BROOKLYN,4361367,Driver Inattention/Distraction,2020-10-26T00:00:00.000,2020-12-14 12:55:00,40.62677,"{'latitude': '40.62677', 'longitude': '-73.946884'}",-73.946884,0,0,1,0,0,0,1,0,Sedan,11210.0
QUEENS,4367699,Unspecified,2020-11-15T00:00:00.000,2020-12-14 04:10:00,40.694294,"{'latitude': '40.694294', 'longitude': '-73.74868'}",-73.74868,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11412.0
BRONX,4362140,Unspecified,2020-10-28T00:00:00.000,2020-12-14 13:30:00,40.86879,"{'latitude': '40.86879', 'longitude': '-73.83168'}",-73.83168,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10475.0
QUEENS,4362040,Driver Inattention/Distraction,2020-10-27T00:00:00.000,2020-12-14 21:30:00,40.69266,"{'latitude': '40.69266', 'longitude': '-73.85648'}",-73.85648,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11421.0
BROOKLYN,4361325,Unspecified,2020-10-22T00:00:00.000,2020-12-14 15:00:00,40.65399,"{'latitude': '40.65399', 'longitude': '-73.883415'}",-73.883415,0,0,0,0,0,0,0,0,Sedan,11207.0
MANHATTAN,4372804,Unspecified,2020-12-01T00:00:00.000,2020-12-14 13:55:00,40.80521,"{'latitude': '40.80521', 'longitude': '-73.94736'}",-73.94736,0,0,2,0,0,0,2,0,Sedan,10027.0
MANHATTAN,4373226,Driver Inattention/Distraction,2020-12-04T00:00:00.000,2020-12-14 21:00:00,40.74445,"{'latitude': '40.74445', 'longitude': '-73.97304'}",-73.97304,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10016.0
BROOKLYN,4363988,Alcohol Involvement,2020-11-03T00:00:00.000,2020-12-14 06:51:00,40.6358,"{'latitude': '40.6358', 'longitude': '-73.903595'}",-73.903595,0,0,0,0,0,0,0,0,Sedan,11236.0
BRONX,4362765,Brakes Defective,2020-10-30T00:00:00.000,2020-12-14 17:55:00,40.817863,"{'latitude': '40.817863', 'longitude': '-73.83852'}",-73.83852,0,0,1,0,0,0,1,0,Tractor Truck Diesel,10465.0
QUEENS,4373198,Failure to Yield Right-of-Way,2020-12-04T00:00:00.000,2020-12-14 20:00:00,40.74052,"{'latitude': '40.74052', 'longitude': '-73.70259'}",-73.70259,0,0,0,0,0,0,0,0,Sedan,11004.0
BROOKLYN,4371806,Unspecified,2020-11-29T00:00:00.000,2020-12-14 00:00:00,40.667145,"{'latitude': '40.667145', 'longitude': '-73.882576'}",-73.882576,0,0,0,0,0,0,0,0,Sedan,11208.0
BRONX,4372579,Unspecified,2020-11-29T00:00:00.000,2020-12-14 10:00:00,40.87377,"{'latitude': '40.87377', 'longitude': '-73.82611'}",-73.82611,0,0,0,0,0,0,0,0,Motorcycle,10475.0
QUEENS,4367059,Aggressive Driving/Road Rage,2020-11-10T00:00:00.000,2020-12-14 19:30:00,40.779278,"{'latitude': '40.779278', 'longitude': '-73.90088'}",-73.90088,0,0,1,0,0,0,1,0,Sedan,11105.0
BRONX,4369910,Unspecified,2020-11-21T00:00:00.000,2020-12-14 22:00:00,40.82194,"{'latitude': '40.82194', 'longitude': '-73.852936'}",-73.852936,0,0,0,0,0,0,0,0,Sedan,10473.0
BRONX,4370293,Passing or Lane Usage Improper,2020-11-23T00:00:00.000,2020-12-14 08:35:00,40.85284,"{'latitude': '40.85284', 'longitude': '-73.88512'}",-73.88512,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10458.0
BROOKLYN,4369525,Turning Improperly,2020-11-21T00:00:00.000,2020-12-14 15:25:00,40.68405,"{'latitude': '40.68405', 'longitude': '-73.97746'}",-73.97746,0,0,3,0,0,0,3,0,Sedan,11217.0
BRONX,4370756,Driver Inattention/Distraction,2020-11-25T00:00:00.000,2020-12-14 16:05:00,40.866634,"{'latitude': '40.866634', 'longitude': '-73.86088'}",-73.86088,0,0,1,0,0,0,1,0,Station Wagon/Sport Utility Vehicle,10469.0
QUEENS,4364416,Traffic Control Disregarded,2020-11-05T00:00:00.000,2020-12-14 05:38:00,40.766705,"{'latitude': '40.766705', 'longitude': '-73.89024'}",-73.89024,0,0,0,0,1,0,1,0,Sedan,11370.0
BROOKLYN,4373311,Unspecified,2020-12-05T00:00:00.000,2020-12-14 14:30:00,40.659847,"{'latitude': '40.659847', 'longitude': '-73.97926'}",-73.97926,0,0,0,0,0,0,0,0,Sedan,11215.0
BROOKLYN,4369825,Unspecified,2020-11-21T00:00:00.000,2020-12-14 16:10:00,40.65239,"{'latitude': '40.65239', 'longitude': '-73.9264'}",-73.9264,0,0,0,0,0,0,0,0,Sedan,11203.0
BRONX,4364338,Unspecified,2020-11-04T00:00:00.000,2020-12-14 18:30:00,40.878284,"{'latitude': '40.878284', 'longitude': '-73.90803'}",-73.90803,0,0,0,0,0,0,0,0,Sedan,10463.0
BRONX,4359268,Backing Unsafely,2020-10-17T00:00:00.000,2020-12-14 23:34:00,40.846516,"{'latitude': '40.846516', 'longitude': '-73.89537'}",-73.89537,0,0,0,0,0,0,0,0,Sedan,10457.0
BRONX,4363783,Unsafe Speed,2020-11-01T00:00:00.000,2020-12-14 19:15:00,40.88933,"{'latitude': '40.88933', 'longitude': '-73.83469'}",-73.83469,0,0,3,0,0,0,3,0,Sedan,10466.0
BROOKLYN,4371710,Driver Inattention/Distraction,2020-11-29T00:00:00.000,2020-12-14 12:52:00,40.673065,"{'latitude': '40.673065', 'longitude': '-73.97189'}",-73.97189,0,0,4,0,0,0,4,0,Taxi,11215.0
MANHATTAN,4374480,Passing or Lane Usage Improper,2020-12-08T00:00:00.000,2020-12-14 16:55:00,40.780018,"{'latitude': '40.780018', 'longitude': '-73.98285'}",-73.98285,0,0,0,0,0,0,0,0,Sedan,10023.0
BRONX,4372197,Driver Inattention/Distraction,2020-11-29T00:00:00.000,2020-12-14 12:30:00,40.877697,"{'latitude': '40.877697', 'longitude': '-73.85636'}",-73.85636,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10469.0
QUEENS,4366545,Backing Unsafely,2020-11-06T00:00:00.000,2020-12-14 12:45:00,40.75498,"{'latitude': '40.75498', 'longitude': '-73.890816'}",-73.890816,0,0,0,0,0,0,0,0,Sedan,11372.0
QUEENS,4371169,Driver Inattention/Distraction,2020-11-27T00:00:00.000,2020-12-14 07:54:00,40.596325,"{'latitude': '40.596325', 'longitude': '-73.76673'}",-73.76673,0,0,0,0,0,0,0,0,Sedan,11691.0
BROOKLYN,4369258,Driver Inattention/Distraction,2020-11-20T00:00:00.000,2020-12-14 17:50:00,40.66551,"{'latitude': '40.66551', 'longitude': '-73.992775'}",-73.992775,0,0,0,0,0,0,0,0,Sedan,11215.0
BROOKLYN,4368660,Unspecified,2020-11-17T00:00:00.000,2020-12-14 11:30:00,40.646175,"{'latitude': '40.646175', 'longitude': '-73.88953'}",-73.88953,0,0,0,0,0,0,0,0,Sedan,11236.0
BRONX,4372539,Unspecified,2020-11-30T00:00:00.000,2020-12-14 17:08:00,40.828945,"{'latitude': '40.828945', 'longitude': '-73.85666'}",-73.85666,0,0,0,0,0,0,0,0,Sedan,10472.0
QUEENS,4366271,Following Too Closely,2020-11-10T00:00:00.000,2020-12-14 17:31:00,40.70605,"{'latitude': '40.70605', 'longitude': '-73.83142'}",-73.83142,0,0,1,0,0,0,1,0,Sedan,11415.0
BRONX,4362271,Unspecified,2020-10-23T00:00:00.000,2020-12-14 22:05:00,40.820515,"{'latitude': '40.820515', 'longitude': '-73.930695'}",-73.930695,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10451.0
BRONX,4372274,Unspecified,2020-11-30T00:00:00.000,2020-12-14 11:10:00,40.873695,"{'latitude': '40.873695', 'longitude': '-73.90816'}",-73.90816,0,0,0,0,1,0,1,0,,10463.0
BROOKLYN,4369132,Reaction to Uninvolved Vehicle,2020-11-19T00:00:00.000,2020-12-14 17:35:00,40.699482,"{'latitude': '40.699482', 'longitude': '-73.96104'}",-73.96104,0,0,0,0,0,0,0,0,Pick-up Truck,11249.0
QUEENS,4365984,Traffic Control Disregarded,2020-11-09T00:00:00.000,2020-12-14 16:10:00,40.67646,"{'latitude': '40.67646', 'longitude': '-73.80752'}",-73.80752,0,0,2,0,0,0,2,0,Station Wagon/Sport Utility Vehicle,11420.0
BROOKLYN,4358451,Aggressive Driving/Road Rage,2020-10-16T00:00:00.000,2020-12-14 14:24:00,40.61957,"{'latitude': '40.61957', 'longitude': '-73.93355'}",-73.93355,0,0,0,0,0,0,0,0,Sedan,11234.0
BRONX,4364295,Unspecified,2020-11-03T00:00:00.000,2020-12-14 18:34:00,40.831875,"{'latitude': '40.831875', 'longitude': '-73.86636'}",-73.86636,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10472.0
BRONX,4366412,Passing Too Closely,2020-11-10T00:00:00.000,2020-12-14 07:24:00,40.831768,"{'latitude': '40.831768', 'longitude': '-73.90803'}",-73.90803,0,0,0,0,0,0,0,0,Sedan,10456.0
BROOKLYN,4362863,Unspecified,2020-10-31T00:00:00.000,2020-12-14 02:24:00,40.671032,"{'latitude': '40.671032', 'longitude': '-73.87814'}",-73.87814,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11208.0
QUEENS,4369721,Following Too Closely,2020-11-16T00:00:00.000,2020-12-14 13:00:00,40.702187,"{'latitude': '40.702187', 'longitude': '-73.89344'}",-73.89344,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11385.0
BRONX,4372832,Driver Inattention/Distraction,2020-12-02T00:00:00.000,2020-12-14 17:00:00,40.868694,"{'latitude': '40.868694', 'longitude': '-73.90237'}",-73.90237,0,0,0,0,1,0,1,0,Sedan,10468.0
BROOKLYN,4367737,Driver Inattention/Distraction,2020-11-15T00:00:00.000,2020-12-14 17:25:00,40.68293,"{'latitude': '40.68293', 'longitude': '-73.910515'}",-73.910515,1,0,0,0,0,0,1,0,Station Wagon/Sport Utility Vehicle,11207.0
BRONX,4372204,Passenger Distraction,2020-11-27T00:00:00.000,2020-12-14 00:45:00,40.863556,"{'latitude': '40.863556', 'longitude': '-73.90755'}",-73.90755,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10468.0
QUEENS,4358561,Driver Inattention/Distraction,2020-10-18T00:00:00.000,2020-12-14 00:30:00,40.753998,"{'latitude': '40.753998', 'longitude': '-73.94244'}",-73.94244,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11101.0
QUEENS,4365907,Unspecified,2020-11-09T00:00:00.000,2020-12-14 06:20:00,40.690742,"{'latitude': '40.690742', 'longitude': '-73.80432'}",-73.80432,0,0,0,0,0,0,0,0,Sedan,11435.0
QUEENS,4358962,Unspecified,2020-10-17T00:00:00.000,2020-12-14 16:16:00,40.69612,"{'latitude': '40.69612', 'longitude': '-73.74619'}",-73.74619,0,0,0,0,0,0,0,0,Sedan,11412.0
QUEENS,4366056,Unspecified,2020-11-10T00:00:00.000,2020-12-14 00:35:00,40.762905,"{'latitude': '40.762905', 'longitude': '-73.7949'}",-73.7949,0,0,0,0,0,0,0,0,Sedan,11358.0
MANHATTAN,4359510,Driver Inattention/Distraction,2020-10-20T00:00:00.000,2020-12-14 01:52:00,40.75478,"{'latitude': '40.75478', 'longitude': '-73.97994'}",-73.97994,0,0,2,0,0,0,2,0,Taxi,10017.0
BROOKLYN,4370523,Driver Inattention/Distraction,2020-11-22T00:00:00.000,2020-12-14 20:30:00,40.651264,"{'latitude': '40.651264', 'longitude': '-74.003914'}",-74.003914,0,0,0,0,0,0,0,0,Tractor Truck Diesel,11232.0
QUEENS,4359456,Glare,2020-10-19T00:00:00.000,2020-12-14 13:58:00,40.77284,"{'latitude': '40.77284', 'longitude': '-73.839165'}",-73.839165,0,0,0,0,0,0,0,0,Van,11354.0
QUEENS,4368722,Driver Inattention/Distraction,2020-11-18T00:00:00.000,2020-12-14 12:30:00,40.69317,"{'latitude': '40.69317', 'longitude': '-73.83122'}",-73.83122,0,0,0,0,0,0,0,0,Van,11418.0
BROOKLYN,4365886,Passing or Lane Usage Improper,2020-11-09T00:00:00.000,2020-12-14 13:30:00,40.70721,"{'latitude': '40.70721', 'longitude': '-73.93656'}",-73.93656,0,0,0,0,0,0,0,0,Sedan,11206.0
MANHATTAN,4364498,Passing Too Closely,2020-11-05T00:00:00.000,2020-12-14 03:25:00,40.80142,"{'latitude': '40.80142', 'longitude': '-73.93446'}",-73.93446,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10035.0
BROOKLYN,4367832,Following Too Closely,2020-11-13T00:00:00.000,2020-12-14 23:10:00,40.628292,"{'latitude': '40.628292', 'longitude': '-73.91697'}",-73.91697,0,0,0,0,0,0,0,0,Sedan,11234.0
QUEENS,4370880,Driver Inattention/Distraction,2020-11-24T00:00:00.000,2020-12-14 17:00:00,40.76423,"{'latitude': '40.76423', 'longitude': '-73.87554'}",-73.87554,0,0,0,0,1,0,1,0,Station Wagon/Sport Utility Vehicle,11369.0
MANHATTAN,4362430,Driver Inattention/Distraction,2020-10-29T00:00:00.000,2020-12-14 21:50:00,40.74639,"{'latitude': '40.74639', 'longitude': '-73.977646'}",-73.977646,0,0,1,0,0,0,1,0,Station Wagon/Sport Utility Vehicle,10016.0
QUEENS,4372361,Unspecified,2020-12-01T00:00:00.000,2020-12-14 10:30:00,40.691715,"{'latitude': '40.691715', 'longitude': '-73.73483'}",-73.73483,0,0,1,0,0,0,1,0,Station Wagon/Sport Utility Vehicle,11411.0
MANHATTAN,4363695,View Obstructed/Limited,2020-11-02T00:00:00.000,2020-12-14 17:33:00,40.80629,"{'latitude': '40.80629', 'longitude': '-73.95773'}",-73.95773,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10026.0
QUEENS,4372359,Driver Inexperience,2020-11-30T00:00:00.000,2020-12-14 07:50:00,40.71479,"{'latitude': '40.71479', 'longitude': '-73.77487'}",-73.77487,0,0,0,0,0,0,0,0,Sedan,11432.0
BRONX,4362495,Backing Unsafely,2020-10-28T00:00:00.000,2020-12-14 16:15:00,40.816196,"{'latitude': '40.816196', 'longitude': '-73.896'}",-73.896,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10459.0
BRONX,4370353,Unspecified,2020-11-23T00:00:00.000,2020-12-14 14:30:00,40.83784,"{'latitude': '40.83784', 'longitude': '-73.85452'}",-73.85452,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10462.0
QUEENS,4369662,Passing or Lane Usage Improper,2020-11-22T00:00:00.000,2020-12-14 13:05:00,40.66786,"{'latitude': '40.66786', 'longitude': '-73.76656'}",-73.76656,0,0,2,0,0,0,2,0,Sedan,11434.0
QUEENS,4373558,Driver Inattention/Distraction,2020-12-06T00:00:00.000,2020-12-14 00:00:00,40.746235,"{'latitude': '40.746235', 'longitude': '-73.89895'}",-73.89895,0,0,0,0,0,0,0,0,Taxi,11377.0
BRONX,4369688,Alcohol Involvement,2020-11-20T00:00:00.000,2020-12-14 20:50:00,40.879055,"{'latitude': '40.879055', 'longitude': '-73.851875'}",-73.851875,0,0,0,0,0,0,0,0,Van,10469.0
BROOKLYN,4370334,Driver Inattention/Distraction,2020-11-24T00:00:00.000,2020-12-14 07:15:00,40.60469,"{'latitude': '40.60469', 'longitude': '-73.94631'}",-73.94631,0,0,1,0,0,0,1,0,Station Wagon/Sport Utility Vehicle,11229.0
BRONX,4361938,Brakes Defective,2020-10-27T00:00:00.000,2020-12-14 06:55:00,40.850082,"{'latitude': '40.850082', 'longitude': '-73.86294'}",-73.86294,0,0,1,0,0,0,1,0,3-Door,10462.0
QUEENS,4358476,Driver Inattention/Distraction,2020-10-17T00:00:00.000,2020-12-14 06:15:00,40.76229,"{'latitude': '40.76229', 'longitude': '-73.75711'}",-73.75711,0,0,0,0,0,0,0,0,Sedan,11363.0
QUEENS,4363422,View Obstructed/Limited,2020-11-02T00:00:00.000,2020-12-14 07:20:00,40.757492,"{'latitude': '40.757492', 'longitude': '-73.93911'}",-73.93911,0,0,0,0,0,0,0,0,DELV,11101.0
BROOKLYN,4358346,Unspecified,2020-10-16T00:00:00.000,2020-12-14 16:00:00,40.674416,"{'latitude': '40.674416', 'longitude': '-73.9042'}",-73.9042,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11212.0
BRONX,4359063,Unspecified,2020-10-17T00:00:00.000,2020-12-14 17:10:00,40.818096,"{'latitude': '40.818096', 'longitude': '-73.91626'}",-73.91626,0,0,1,0,0,0,1,0,Sedan,10455.0
QUEENS,4374266,Passing or Lane Usage Improper,2020-12-07T00:00:00.000,2020-12-14 17:00:00,40.693115,"{'latitude': '40.693115', 'longitude': '-73.81977'}",-73.81977,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11419.0
QUEENS,4371589,Glare,2020-11-20T00:00:00.000,2020-12-14 12:55:00,40.60957,"{'latitude': '40.60957', 'longitude': '-73.81905'}",-73.81905,0,0,0,0,0,0,0,0,Sedan,11693.0
BRONX,4369911,Failure to Yield Right-of-Way,2020-11-23T00:00:00.000,2020-12-14 01:40:00,40.832233,"{'latitude': '40.832233', 'longitude': '-73.85427'}",-73.85427,0,0,0,0,0,0,0,0,Sedan,10462.0
QUEENS,4367058,Unspecified,2020-11-06T00:00:00.000,2020-12-14 14:40:00,40.75537,"{'latitude': '40.75537', 'longitude': '-73.91132'}",-73.91132,0,0,0,0,0,0,0,0,Sedan,11377.0
MANHATTAN,4364646,Driver Inattention/Distraction,2020-11-05T00:00:00.000,2020-12-14 16:25:00,40.75898,"{'latitude': '40.75898', 'longitude': '-73.99595'}",-73.99595,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,10036.0
BROOKLYN,4364999,Unspecified,2020-11-06T00:00:00.000,2020-12-14 17:26:00,40.600426,"{'latitude': '40.600426', 'longitude': '-73.941895'}",-73.941895,0,0,1,0,0,0,1,0,Sedan,11229.0
BROOKLYN,4359694,Obstruction/Debris,2020-10-20T00:00:00.000,2020-12-14 18:25:00,40.712784,"{'latitude': '40.712784', 'longitude': '-73.937256'}",-73.937256,0,0,1,0,0,0,1,0,Moped,11211.0
QUEENS,4362175,Driver Inattention/Distraction,2020-10-28T00:00:00.000,2020-12-14 20:09:00,40.75,"{'latitude': '40.75', 'longitude': '-73.89924'}",-73.89924,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11377.0
BROOKLYN,4372751,Traffic Control Disregarded,2020-12-02T00:00:00.000,2020-12-14 07:10:00,40.701397,"{'latitude': '40.701397', 'longitude': '-73.95808'}",-73.95808,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11211.0
BROOKLYN,4361763,Unsafe Speed,2020-10-18T00:00:00.000,2020-12-14 05:00:00,40.69243,"{'latitude': '40.69243', 'longitude': '-73.92924'}",-73.92924,0,0,0,0,0,0,0,0,Station Wagon/Sport Utility Vehicle,11221.0
